,timestamp_year,timestamp_month,timestamp_day,total_irradiance
197,1980,7,17,1368.126
198,1980,7,18,1368.05
199,1980,7,19,1368.0220000000002
200,1980,7,20,1368.1979999999999
201,1980,7,21,1368.205
202,1980,7,22,1368.336
203,1980,7,23,1368.618
204,1980,7,24,1368.781
205,1980,7,25,1369.38
206,1980,7,26,1369.4879999999998
207,1980,7,27,1369.3239999999998
208,1980,7,28,1369.12
209,1980,7,29,1369.146
210,1980,7,30,
211,1980,7,31,1368.5829999999999
212,1980,8,1,1368.501
213,1980,8,2,1368.465
214,1980,8,3,1368.611
215,1980,8,4,1368.6779999999999
216,1980,8,5,1368.6670000000001
217,1980,8,6,1368.5810000000001
218,1980,8,7,1368.546
219,1980,8,8,1368.49
220,1980,8,9,1368.549
221,1980,8,10,1368.6070000000002
222,1980,8,11,1368.662
223,1980,8,12,1368.8570000000002
224,1980,8,13,1368.817
225,1980,8,14,1368.8729999999998
226,1980,8,15,1369.144
227,1980,8,16,1369.05
228,1980,8,17,1368.7620000000002
229,1980,8,18,1368.625
230,1980,8,19,1368.599
231,1980,8,20,1368.4070000000002
232,1980,8,21,1368.4779999999998
233,1980,8,22,1368.646
234,1980,8,23,1368.579
235,1980,8,24,1368.422
236,1980,8,25,1368.36
237,1980,8,26,1368.285
238,1980,8,27,1368.276
239,1980,8,28,1368.141
240,1980,8,29,1368.128
241,1980,8,30,1367.721
242,1980,8,31,1367.203
243,1980,9,1,1367.057
244,1980,9,2,
245,1980,9,3,1366.63
246,1980,9,4,1366.642
247,1980,9,5,1367.1960000000001
248,1980,9,6,1367.828
249,1980,9,7,1368.339
250,1980,9,8,1368.744
251,1980,9,9,1369.0520000000001
252,1980,9,10,1368.934
253,1980,9,11,1369.0320000000002
254,1980,9,12,1368.921
255,1980,9,13,1368.753
256,1980,9,14,1368.621
257,1980,9,15,1368.461
258,1980,9,16,1368.557
259,1980,9,17,1368.6470000000002
260,1980,9,18,1368.625
261,1980,9,19,1368.79
262,1980,9,20,1368.5720000000001
263,1980,9,21,1368.4170000000001
264,1980,9,22,1368.2779999999998
265,1980,9,23,1367.896
